customer_demographic_id,customer_id,name,email,phone_number,address,city,state,zip_code,credit_card_number,credit_card_expires,credit_card_security_code,credit_card_provider
ca182662-b281-433a-a82b-8e061f7bf2cd,3,Kelly Ramos,nguyenjennifer@example.com,820-824-2003,496 Margaret Shoals,Smithborough,Iowa,42755,4234465830748237,04/33,497,Mastercard
1e7c3a60-4788-4711-809f-b6f8bfbdb18a,4,Rebekah Fitzgerald,michaelabarr@example.net,269-384-1623 ext: 34240,0807 Logan Fords Suite 355,Contrerasside,Connecticut,64282,4985681645741,10/25,927,Discover
1e0600ca-5408-42d9-a7c3-be3f6595a90d,7,Stuart Rivera,uburton@example.com,770-429-0167 ext: 9155,44917 Emily Lakes,Lammouth,Delaware,83547,501874748400,09/29,155,VISA
5c3e2f42-066e-49bb-95c4-32bee4d63f1a,8,Tara Wright,richardsisaac@example.com,889-529-5982 ext: 7535,3921 Yates Glens Apt. 828,Lake Jimmy,Oklahoma,75654,4654180978373303154,05/32,256,JCB
cabe760e-0a2b-4d7d-b452-ea317fda4096,9,Jason Lawrence,smithashley@example.com,886-508-2604,543 Jones Squares,Velezview,Massachusetts,92324,6011988096474234,08/24,602,Maestro
599671a7-2221-4f98-8775-961c6039387c,11,Christopher Hale,dpotts@example.net,982-985-8137 ext: 948,1993 Susan Route Apt. 457,Patriciaton,Arkansas,59475,3575246342365499,12/31,905,American Express
a5124322-9e99-4381-84a6-087180fed547,12,Andrew Weaver,kaylaconley@example.net,515-949-0785 ext: 60793,0548 Matthew Drive Suite 872,Port Benjamin,Michigan,70351,4713270809319410,03/28,550,JCB
c5918a1e-6c6c-4d2d-87e9-43b2721a091f,13,Robert Leon,michaelherman@example.com,616-293-5073 ext: 643,67206 Nicole Cove,Scottchester,New York,12197,36232138529174,02/30,754,Diners Club / Carte Blanche
bb50770b-b79f-4a40-8da6-21ff25afcba6,15,Catherine Montgomery,ingramruth@example.net,878-315-5563 ext: 3795,71243 Brian Field,Josephborough,Illinois,39012,6011304496884065,09/33,533,VISA
b5835650-f215-4eb0-bd4b-f3cbbbd04f83,17,Monica Gould,omedina@example.org,318-708-1568 ext: 3810,128 Amanda Unions Apt. 515,Cameronport,Arkansas,15645,213100793366916,05/30,142,Diners Club / Carte Blanche
1c8a7ce1-fdf0-40b4-b334-e6c606c05e85,22,Marcus Jones,tracyross@example.net,610-708-6604 ext: 431,24054 Baldwin Ways,New Amber,Idaho,88375,3597277990775618,01/32,812,Diners Club / Carte Blanche
752c2e94-3ebb-45ab-8bff-62753b525819,23,Travis Peck,shelia38@example.org,704-986-7259 ext: 2239,3472 Gutierrez Key,Phillipsstad,California,11282,213106182744548,04/24,446,JCB
7eb5dde2-7f81-4f5b-b856-8cdf93c899a2,24,Jason Johnson,davisbrandon@example.com,359-902-9234 ext: 970,9973 Holder Plaza Suite 846,Hollandhaven,Mississippi,75211,6572720485311185,09/29,026,Mastercard
346b8a9d-9836-4dbb-b774-45a693553b7e,26,Sherry Sanders,morandiana@example.org,502-798-5055 ext: 86823,787 Jones Manors Suite 286,Port Michellefort,Iowa,97734,4167751298950840,09/30,721,Mastercard
de371864-097b-4ddc-a9ff-52b66c713bd3,29,Yesenia Henderson,ericastewart@example.org,215-420-0641,9735 Whitney Ridges Suite 775,Erinview,Arizona,79380,639017605267,01/33,965,JCB
6cb87548-b0c3-4605-bc41-d8f6b6f96b72,34,Brooke Turner,sarah83@example.org,410-943-5136 ext: 73734,4255 Simpson Fork,New Brandy,Utah,69989,30580180369113,11/26,761,VISA
fda57b45-9803-463e-a754-f4c46bde4514,35,Kara Johnson,oclements@example.net,321-390-4984,760 Jimenez Alley,Garciaborough,Ohio,17904,4011608766380978259,10/32,984,JCB
18f717e9-40cd-4527-a0e9-68ed1f8b4994,37,Joseph Bruce,woodsthomas@example.net,432-411-1910 ext: 809,593 Mcpherson Fall,Kevinhaven,Georgia,54104,2464906668621348,08/32,896,Diners Club / Carte Blanche
89d22c16-7a40-4205-bf8e-1bc596946943,41,Ronald Trujillo,scurtis@example.net,595-874-6038 ext: 41927,57604 Hendrix Lake,Royside,West Virginia,96516,342006493042935,09/32,533,JCB
6f1a5569-45db-4e94-9330-c800b48fec21,44,Nathan Thomas,taylorball@example.com,493-395-4642 ext: 816,993 Clark Union,Lake Elizabeth,Vermont,96746,6592168191862677,01/33,332,Mastercard
a40c05f9-be39-47d4-9978-7c590e6e0fbf,46,Jennifer Johnson,carrollerik@example.org,729-325-3020,2794 Martinez Landing,Davidhaven,Kentucky,08603,4738672868729663,05/30,690,JCB
c8cd82b1-f513-4721-9f33-e641218a0c3f,47,Carol Fernandez,batesamanda@example.org,844-271-9875,1149 Jeremy Islands,Brownshire,Delaware,22456,6567432433169379,08/32,250,JCB
a9215e24-881c-467f-9371-e490258d53e9,53,Robert Sawyer,kimberlygonzales@example.com,666-242-6433 ext: 772,5107 Courtney Throughway Apt. 652,Rossview,Kentucky,93709,4156332930177,01/28,517,JCB
